Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2017,04,11,28.1,1,Y
IDCJAC0010,009225,2017,04,12,23.8,1,Y
IDCJAC0010,009225,2017,04,13,26.8,1,Y
IDCJAC0010,009225,2017,04,14,29.0,1,Y
IDCJAC0010,009225,2017,04,15,29.3,1,Y
IDCJAC0010,009225,2017,04,16,25.1,1,Y
IDCJAC0010,009225,2017,04,17,21.8,1,Y
IDCJAC0010,009225,2017,04,18,25.0,1,Y
IDCJAC0010,009225,2017,04,19,25.6,1,Y
IDCJAC0010,009225,2017,04,20,28.6,1,Y
IDCJAC0010,009225,2017,04,21,28.3,1,Y
IDCJAC0010,009225,2017,04,22,28.6,1,Y
IDCJAC0010,009225,2017,04,23,28.1,1,Y
IDCJAC0010,009225,2017,04,24,26.0,1,Y
IDCJAC0010,009225,2017,04,25,24.2,1,Y
IDCJAC0010,009225,2017,04,26,26.1,1,Y
IDCJAC0010,009225,2017,04,27,26.3,1,Y
IDCJAC0010,009225,2017,04,28,26.7,1,Y
IDCJAC0010,009225,2017,04,29,27.6,1,Y
IDCJAC0010,009225,2017,04,30,23.9,1,Y
IDCJAC0010,009225,2017,05,01,24.1,1,N
IDCJAC0010,009225,2017,05,02,26.4,1,N
IDCJAC0010,009225,2017,05,03,29.2,1,N
IDCJAC0010,009225,2017,05,04,24.2,1,N
IDCJAC0010,009225,2017,05,05,24.3,1,N
IDCJAC0010,009225,2017,05,06,26.3,1,N
IDCJAC0010,009225,2017,05,07,30.8,1,N
IDCJAC0010,009225,2017,05,08,26.4,1,N
IDCJAC0010,009225,2017,05,09,20.7,1,N
IDCJAC0010,009225,2017,05,10,21.6,1,N
IDCJAC0010,009225,2017,05,11,22.1,1,N
IDCJAC0010,009225,2017,05,12,22.5,1,N
IDCJAC0010,009225,2017,05,13,22.9,1,N
IDCJAC0010,009225,2017,05,14,25.0,1,N
IDCJAC0010,009225,2017,05,15,20.7,1,N
IDCJAC0010,009225,2017,05,16,21.5,1,N
IDCJAC0010,009225,2017,05,17,20.4,1,N
IDCJAC0010,009225,2017,05,18,25.9,1,N
IDCJAC0010,009225,2017,05,19,22.9,1,N
